year,area,species,catch,fishery,type,area_catch
1975,1,Chinook,2721,GN,Commercial,8037
1976,1,Chinook,541,GN,Commercial,8037
1977,1,Chinook,781,GN,Commercial,8037
1978,1,Chinook,82,GN,Commercial,8037
1979,1,Chinook,280,GN,Commercial,8037
1980,1,Chinook,775,GN,Commercial,8037
1981,1,Chinook,748,GN,Commercial,8037
1982,1,Chinook,20,GN,Commercial,8037
1983,1,Chinook,27,GN,Commercial,8037
1984,1,Chinook,391,GN,Commercial,8037
1985,1,Chinook,10,GN,Commercial,8037
1986,1,Chinook,49,GN,Commercial,8037
1987,1,Chinook,428,GN,Commercial,8037
1988,1,Chinook,72,GN,Commercial,8037
1989,1,Chinook,14,GN,Commercial,8037
1990,1,Chinook,34,GN,Commercial,8037
1991,1,Chinook,8,GN,Commercial,8037
1992,1,Chinook,85,GN,Commercial,8037
1993,1,Chinook,129,GN,Commercial,8037
1994,1,Chinook,26,GN,Commercial,8037
1995,1,Chinook,157,GN,Commercial,8037
1996,1,Chinook,3,GN,Commercial,8037
1997,1,Chinook,656,GN,Commercial,8037
1998,1,Chinook,0,GN,Commercial,8037
1999,1,Chinook,0,GN,Commercial,8037
2000,1,Chinook,0,GN,Commercial,8037
2002,1,Chinook,0,GN,Commercial,8037
2005,1,Chinook,0,GN,Commercial,8037
2006,1,Chinook,0,GN,Commercial,8037
2014,1,Chinook,0,GN,Commercial,8037
1975,2,Chinook,76,GN,Commercial,1798
1976,2,Chinook,79,GN,Commercial,1798
1977,2,Chinook,213,GN,Commercial,1798
1978,2,Chinook,46,GN,Commercial,1798
1979,2,Chinook,12,GN,Commercial,1798
1980,2,Chinook,305,GN,Commercial,1798
1981,2,Chinook,27,GN,Commercial,1798
1982,2,Chinook,2,GN,Commercial,1798
1983,2,Chinook,3,GN,Commercial,1798
1984,2,Chinook,53,GN,Commercial,1798
1985,2,Chinook,764,GN,Commercial,1798
1986,2,Chinook,21,GN,Commercial,1798
1987,2,Chinook,8,GN,Commercial,1798
1988,2,Chinook,63,GN,Commercial,1798
1989,2,Chinook,6,GN,Commercial,1798
1990,2,Chinook,20,GN,Commercial,1798
1991,2,Chinook,67,GN,Commercial,1798
1992,2,Chinook,10,GN,Commercial,1798
1993,2,Chinook,4,GN,Commercial,1798
1995,2,Chinook,3,GN,Commercial,1798
1996,2,Chinook,1,GN,Commercial,1798
1997,2,Chinook,6,GN,Commercial,1798
1998,2,Chinook,1,GN,Commercial,1798
1999,2,Chinook,0,GN,Commercial,1798
2000,2,Chinook,4,GN,Commercial,1798
2001,2,Chinook,1,GN,Commercial,1798
2002,2,Chinook,0,GN,Commercial,1798
2003,2,Chinook,0,GN,Commercial,1798
2004,2,Chinook,1,GN,Commercial,1798
2005,2,Chinook,2,GN,Commercial,1798
2006,2,Chinook,0,GN,Commercial,1798
2008,2,Chinook,0,GN,Commercial,1798
2009,2,Chinook,0,GN,Commercial,1798
2010,2,Chinook,0,GN,Commercial,1798
2011,2,Chinook,0,GN,Commercial,1798
2015,2,Chinook,0,GN,Commercial,1798
1975,3,Chinook,9622,GN,Commercial,154320
1976,3,Chinook,9046,GN,Commercial,154320
1977,3,Chinook,8117,GN,Commercial,154320
1978,3,Chinook,6566,GN,Commercial,154320
1979,3,Chinook,3516,GN,Commercial,154320
1980,3,Chinook,2159,GN,Commercial,154320
1981,3,Chinook,4385,GN,Commercial,154320
1982,3,Chinook,11155,GN,Commercial,154320
1983,3,Chinook,1655,GN,Commercial,154320
1984,3,Chinook,5812,GN,Commercial,154320
1985,3,Chinook,1630,GN,Commercial,154320
1986,3,Chinook,2211,GN,Commercial,154320
1987,3,Chinook,1372,GN,Commercial,154320
1988,3,Chinook,795,GN,Commercial,154320
1989,3,Chinook,3176,GN,Commercial,154320
1990,3,Chinook,2424,GN,Commercial,154320
1991,3,Chinook,3578,GN,Commercial,154320
1992,3,Chinook,3874,GN,Commercial,154320
1993,3,Chinook,4062,GN,Commercial,154320
1994,3,Chinook,2968,GN,Commercial,154320
1995,3,Chinook,4038,GN,Commercial,154320
1996,3,Chinook,5942,GN,Commercial,154320
1997,3,Chinook,3273,GN,Commercial,154320
1998,3,Chinook,2483,GN,Commercial,154320
1999,3,Chinook,4235,GN,Commercial,154320
2000,3,Chinook,3069,GN,Commercial,154320
2001,3,Chinook,3294,GN,Commercial,154320
2002,3,Chinook,5100,GN,Commercial,154320
2003,3,Chinook,5007,GN,Commercial,154320
2004,3,Chinook,6414,GN,Commercial,154320
2005,3,Chinook,3345,GN,Commercial,154320
2006,3,Chinook,5019,GN,Commercial,154320
2007,3,Chinook,3822,GN,Commercial,154320
2008,3,Chinook,443,GN,Commercial,154320
2009,3,Chinook,1299,GN,Commercial,154320
2010,3,Chinook,694,GN,Commercial,154320
2011,3,Chinook,1037,GN,Commercial,154320
2012,3,Chinook,466,GN,Commercial,154320
2013,3,Chinook,1129,GN,Commercial,154320
2014,3,Chinook,2209,GN,Commercial,154320
2015,3,Chinook,1792,GN,Commercial,154320
2016,3,Chinook,830,GN,Commercial,154320
2017,3,Chinook,1257,GN,Commercial,154320
2018,3,Chinook,0,GN,Commercial,154320
2019,3,Chinook,0,GN,Commercial,154320
1975,4,Chinook,7409,GN,Commercial,385739
1976,4,Chinook,4771,GN,Commercial,385739
1977,4,Chinook,10648,GN,Commercial,385739
1978,4,Chinook,7551,GN,Commercial,385739
1979,4,Chinook,11681,GN,Commercial,385739
1980,4,Chinook,7375,GN,Commercial,385739
1981,4,Chinook,18131,GN,Commercial,385739
1982,4,Chinook,14316,GN,Commercial,385739
1983,4,Chinook,3701,GN,Commercial,385739
1984,4,Chinook,9836,GN,Commercial,385739
1985,4,Chinook,22462,GN,Commercial,385739
1986,4,Chinook,9247,GN,Commercial,385739
1987,4,Chinook,9058,GN,Commercial,385739
1988,4,Chinook,22519,GN,Commercial,385739
1989,4,Chinook,13828,GN,Commercial,385739
1990,4,Chinook,14852,GN,Commercial,385739
1991,4,Chinook,15578,GN,Commercial,385739
1992,4,Chinook,18052,GN,Commercial,385739
1993,4,Chinook,15754,GN,Commercial,385739
1994,4,Chinook,12596,GN,Commercial,385739
1995,4,Chinook,11303,GN,Commercial,385739
1996,4,Chinook,19946,GN,Commercial,385739
1997,4,Chinook,14618,GN,Commercial,385739
1998,4,Chinook,3528,GN,Commercial,385739
1999,4,Chinook,4412,GN,Commercial,385739
2000,4,Chinook,16564,GN,Commercial,385739
2001,4,Chinook,19342,GN,Commercial,385739
2002,4,Chinook,8400,GN,Commercial,385739
2003,4,Chinook,8385,GN,Commercial,385739
2004,4,Chinook,4662,GN,Commercial,385739
2005,4,Chinook,1760,GN,Commercial,385739
2006,4,Chinook,5120,GN,Commercial,385739
2007,4,Chinook,5186,GN,Commercial,385739
2008,4,Chinook,5236,GN,Commercial,385739
2009,4,Chinook,2438,GN,Commercial,385739
2010,4,Chinook,1061,GN,Commercial,385739
2011,4,Chinook,1666,GN,Commercial,385739
2012,4,Chinook,314,GN,Commercial,385739
2013,4,Chinook,997,GN,Commercial,385739
2014,4,Chinook,423,GN,Commercial,385739
2015,4,Chinook,621,GN,Commercial,385739
2016,4,Chinook,392,GN,Commercial,385739
2018,4,Chinook,0,GN,Commercial,385739
2020,4,Chinook,0,GN,Commercial,385739
1975,5,Chinook,318,GN,Commercial,7306
1976,5,Chinook,614,GN,Commercial,7306
1977,5,Chinook,592,GN,Commercial,7306
1978,5,Chinook,949,GN,Commercial,7306
1979,5,Chinook,503,GN,Commercial,7306
1980,5,Chinook,439,GN,Commercial,7306
1981,5,Chinook,312,GN,Commercial,7306
1982,5,Chinook,442,GN,Commercial,7306
1983,5,Chinook,263,GN,Commercial,7306
1984,5,Chinook,180,GN,Commercial,7306
1985,5,Chinook,130,GN,Commercial,7306
1986,5,Chinook,103,GN,Commercial,7306
1987,5,Chinook,173,GN,Commercial,7306
1988,5,Chinook,64,GN,Commercial,7306
1989,5,Chinook,343,GN,Commercial,7306
1990,5,Chinook,283,GN,Commercial,7306
1991,5,Chinook,220,GN,Commercial,7306
1992,5,Chinook,211,GN,Commercial,7306
1993,5,Chinook,185,GN,Commercial,7306
1994,5,Chinook,184,GN,Commercial,7306
1995,5,Chinook,268,GN,Commercial,7306
1996,5,Chinook,161,GN,Commercial,7306
1997,5,Chinook,140,GN,Commercial,7306
1998,5,Chinook,28,GN,Commercial,7306
2000,5,Chinook,76,GN,Commercial,7306
2001,5,Chinook,33,GN,Commercial,7306
2002,5,Chinook,14,GN,Commercial,7306
2003,5,Chinook,9,GN,Commercial,7306
2004,5,Chinook,21,GN,Commercial,7306
2006,5,Chinook,37,GN,Commercial,7306
2007,5,Chinook,4,GN,Commercial,7306
2008,5,Chinook,7,GN,Commercial,7306
2010,5,Chinook,0,GN,Commercial,7306
2011,5,Chinook,0,GN,Commercial,7306
2012,5,Chinook,0,GN,Commercial,7306
2014,5,Chinook,0,GN,Commercial,7306
2016,5,Chinook,0,GN,Commercial,7306
2018,5,Chinook,0,GN,Commercial,7306
1975,6,Chinook,1977,GN,Commercial,11147
1976,6,Chinook,388,GN,Commercial,11147
1977,6,Chinook,437,GN,Commercial,11147
1978,6,Chinook,2085,GN,Commercial,11147
1979,6,Chinook,701,GN,Commercial,11147
1980,6,Chinook,1067,GN,Commercial,11147
1981,6,Chinook,579,GN,Commercial,11147
1982,6,Chinook,465,GN,Commercial,11147
1983,6,Chinook,399,GN,Commercial,11147
1984,6,Chinook,42,GN,Commercial,11147
1985,6,Chinook,143,GN,Commercial,11147
1986,6,Chinook,292,GN,Commercial,11147
1987,6,Chinook,245,GN,Commercial,11147
1988,6,Chinook,132,GN,Commercial,11147
1989,6,Chinook,29,GN,Commercial,11147
1990,6,Chinook,165,GN,Commercial,11147
1991,6,Chinook,25,GN,Commercial,11147
1992,6,Chinook,8,GN,Commercial,11147
1993,6,Chinook,15,GN,Commercial,11147
1994,6,Chinook,62,GN,Commercial,11147
1995,6,Chinook,43,GN,Commercial,11147
1996,6,Chinook,48,GN,Commercial,11147
1997,6,Chinook,35,GN,Commercial,11147
1998,6,Chinook,242,GN,Commercial,11147
1999,6,Chinook,236,GN,Commercial,11147
2000,6,Chinook,5,GN,Commercial,11147
2001,6,Chinook,399,GN,Commercial,11147
2002,6,Chinook,84,GN,Commercial,11147
2003,6,Chinook,7,GN,Commercial,11147
2004,6,Chinook,95,GN,Commercial,11147
2005,6,Chinook,122,GN,Commercial,11147
2006,6,Chinook,74,GN,Commercial,11147
2007,6,Chinook,151,GN,Commercial,11147
2008,6,Chinook,50,GN,Commercial,11147
2009,6,Chinook,84,GN,Commercial,11147
2010,6,Chinook,21,GN,Commercial,11147
2011,6,Chinook,3,GN,Commercial,11147
2012,6,Chinook,10,GN,Commercial,11147
2015,6,Chinook,21,GN,Commercial,11147
2016,6,Chinook,40,GN,Commercial,11147
2017,6,Chinook,121,GN,Commercial,11147
1975,7,Chinook,5687,GN,Commercial,23318
1976,7,Chinook,1289,GN,Commercial,23318
1977,7,Chinook,1714,GN,Commercial,23318
1978,7,Chinook,2386,GN,Commercial,23318
1979,7,Chinook,3309,GN,Commercial,23318
1980,7,Chinook,2957,GN,Commercial,23318
1981,7,Chinook,763,GN,Commercial,23318
1982,7,Chinook,1554,GN,Commercial,23318
1983,7,Chinook,179,GN,Commercial,23318
1984,7,Chinook,66,GN,Commercial,23318
1985,7,Chinook,451,GN,Commercial,23318
1986,7,Chinook,301,GN,Commercial,23318
1987,7,Chinook,262,GN,Commercial,23318
1988,7,Chinook,92,GN,Commercial,23318
1989,7,Chinook,68,GN,Commercial,23318
1990,7,Chinook,450,GN,Commercial,23318
1991,7,Chinook,113,GN,Commercial,23318
1992,7,Chinook,52,GN,Commercial,23318
1993,7,Chinook,18,GN,Commercial,23318
1994,7,Chinook,5,GN,Commercial,23318
1995,7,Chinook,24,GN,Commercial,23318
1996,7,Chinook,11,GN,Commercial,23318
1997,7,Chinook,3,GN,Commercial,23318
1998,7,Chinook,0,GN,Commercial,23318
1999,7,Chinook,29,GN,Commercial,23318
2000,7,Chinook,0,GN,Commercial,23318
2001,7,Chinook,1445,GN,Commercial,23318
2002,7,Chinook,7,GN,Commercial,23318
2003,7,Chinook,2,GN,Commercial,23318
2004,7,Chinook,54,GN,Commercial,23318
2005,7,Chinook,4,GN,Commercial,23318
2006,7,Chinook,2,GN,Commercial,23318
2007,7,Chinook,0,GN,Commercial,23318
2009,7,Chinook,0,GN,Commercial,23318
2011,7,Chinook,0,GN,Commercial,23318
2012,7,Chinook,0,GN,Commercial,23318
2013,7,Chinook,2,GN,Commercial,23318
2014,7,Chinook,4,GN,Commercial,23318
2015,7,Chinook,2,GN,Commercial,23318
2016,7,Chinook,7,GN,Commercial,23318
2017,7,Chinook,6,GN,Commercial,23318
1975,8,Chinook,16057,GN,Commercial,244401
1976,8,Chinook,12782,GN,Commercial,244401
1977,8,Chinook,8481,GN,Commercial,244401
1978,8,Chinook,9136,GN,Commercial,244401
1979,8,Chinook,9141,GN,Commercial,244401
1980,8,Chinook,7191,GN,Commercial,244401
1981,8,Chinook,5564,GN,Commercial,244401
1982,8,Chinook,6273,GN,Commercial,244401
1983,8,Chinook,3555,GN,Commercial,244401
1984,8,Chinook,1184,GN,Commercial,244401
1985,8,Chinook,2723,GN,Commercial,244401
1986,8,Chinook,5214,GN,Commercial,244401
1987,8,Chinook,2215,GN,Commercial,244401
1988,8,Chinook,2228,GN,Commercial,244401
1989,8,Chinook,3554,GN,Commercial,244401
1990,8,Chinook,5893,GN,Commercial,244401
1991,8,Chinook,6414,GN,Commercial,244401
1992,8,Chinook,6473,GN,Commercial,244401
1993,8,Chinook,6972,GN,Commercial,244401
1994,8,Chinook,9301,GN,Commercial,244401
1995,8,Chinook,9140,GN,Commercial,244401
1996,8,Chinook,6395,GN,Commercial,244401
1997,8,Chinook,2784,GN,Commercial,244401
1998,8,Chinook,4771,GN,Commercial,244401
1999,8,Chinook,4077,GN,Commercial,244401
2000,8,Chinook,3193,GN,Commercial,244401
2001,8,Chinook,4621,GN,Commercial,244401
2002,8,Chinook,4585,GN,Commercial,244401
2003,8,Chinook,2794,GN,Commercial,244401
2004,8,Chinook,5231,GN,Commercial,244401
2005,8,Chinook,6179,GN,Commercial,244401
2006,8,Chinook,5222,GN,Commercial,244401
2007,8,Chinook,5426,GN,Commercial,244401
2008,8,Chinook,1134,GN,Commercial,244401
2009,8,Chinook,4096,GN,Commercial,244401
2010,8,Chinook,1549,GN,Commercial,244401
2011,8,Chinook,5176,GN,Commercial,244401
2012,8,Chinook,3807,GN,Commercial,244401
2013,8,Chinook,5306,GN,Commercial,244401
2014,8,Chinook,2234,GN,Commercial,244401
2015,8,Chinook,5328,GN,Commercial,244401
2016,8,Chinook,3185,GN,Commercial,244401
2017,8,Chinook,2992,GN,Commercial,244401
2018,8,Chinook,4603,GN,Commercial,244401
2019,8,Chinook,6092,GN,Commercial,244401
2020,8,Chinook,4130,GN,Commercial,244401
1975,9,Chinook,7675,GN,Commercial,69097
1976,9,Chinook,9042,GN,Commercial,69097
1977,9,Chinook,17543,GN,Commercial,69097
1978,9,Chinook,8132,GN,Commercial,69097
1979,9,Chinook,2837,GN,Commercial,69097
1980,9,Chinook,580,GN,Commercial,69097
1981,9,Chinook,461,GN,Commercial,69097
1982,9,Chinook,504,GN,Commercial,69097
1983,9,Chinook,805,GN,Commercial,69097
1984,9,Chinook,1053,GN,Commercial,69097
1985,9,Chinook,1925,GN,Commercial,69097
1986,9,Chinook,4816,GN,Commercial,69097
1987,9,Chinook,3091,GN,Commercial,69097
1988,9,Chinook,2016,GN,Commercial,69097
1989,9,Chinook,1172,GN,Commercial,69097
1990,9,Chinook,2138,GN,Commercial,69097
1991,9,Chinook,1864,GN,Commercial,69097
1992,9,Chinook,1892,GN,Commercial,69097
1993,9,Chinook,830,GN,Commercial,69097
1994,9,Chinook,378,GN,Commercial,69097
1995,9,Chinook,343,GN,Commercial,69097
1975,10,Chinook,5290,GN,Commercial,51974
1976,10,Chinook,3264,GN,Commercial,51974
1977,10,Chinook,1966,GN,Commercial,51974
1978,10,Chinook,3880,GN,Commercial,51974
1979,10,Chinook,3386,GN,Commercial,51974
1980,10,Chinook,791,GN,Commercial,51974
1981,10,Chinook,766,GN,Commercial,51974
1982,10,Chinook,4329,GN,Commercial,51974
1983,10,Chinook,1607,GN,Commercial,51974
1984,10,Chinook,286,GN,Commercial,51974
1985,10,Chinook,6678,GN,Commercial,51974
1986,10,Chinook,5438,GN,Commercial,51974
1987,10,Chinook,2443,GN,Commercial,51974
1988,10,Chinook,1863,GN,Commercial,51974
1989,10,Chinook,1191,GN,Commercial,51974
1990,10,Chinook,615,GN,Commercial,51974
1991,10,Chinook,1712,GN,Commercial,51974
1992,10,Chinook,4797,GN,Commercial,51974
1993,10,Chinook,1187,GN,Commercial,51974
1994,10,Chinook,282,GN,Commercial,51974
1995,10,Chinook,173,GN,Commercial,51974
1996,10,Chinook,30,GN,Commercial,51974
2011,10,Chinook,0,GN,Commercial,51974
2014,10,Chinook,0,GN,Commercial,51974
2016,10,Chinook,0,GN,Commercial,51974
1975,11,Chinook,1040,GN,Commercial,18196
1976,11,Chinook,249,GN,Commercial,18196
1977,11,Chinook,442,GN,Commercial,18196
1978,11,Chinook,1142,GN,Commercial,18196
1979,11,Chinook,587,GN,Commercial,18196
1980,11,Chinook,720,GN,Commercial,18196
1981,11,Chinook,373,GN,Commercial,18196
1982,11,Chinook,718,GN,Commercial,18196
1983,11,Chinook,465,GN,Commercial,18196
1984,11,Chinook,142,GN,Commercial,18196
1985,11,Chinook,618,GN,Commercial,18196
1986,11,Chinook,970,GN,Commercial,18196
1987,11,Chinook,1115,GN,Commercial,18196
1988,11,Chinook,110,GN,Commercial,18196
1989,11,Chinook,1367,GN,Commercial,18196
1990,11,Chinook,2429,GN,Commercial,18196
1991,11,Chinook,1205,GN,Commercial,18196
1992,11,Chinook,1546,GN,Commercial,18196
1993,11,Chinook,2165,GN,Commercial,18196
1994,11,Chinook,475,GN,Commercial,18196
1995,11,Chinook,60,GN,Commercial,18196
1996,11,Chinook,2,GN,Commercial,18196
1997,11,Chinook,155,GN,Commercial,18196
2001,11,Chinook,11,GN,Commercial,18196
2002,11,Chinook,24,GN,Commercial,18196
2003,11,Chinook,16,GN,Commercial,18196
2004,11,Chinook,32,GN,Commercial,18196
2006,11,Chinook,12,GN,Commercial,18196
2010,11,Chinook,6,GN,Commercial,18196
2011,11,Chinook,0,GN,Commercial,18196
2012,11,Chinook,0,GN,Commercial,18196
2014,11,Chinook,0,GN,Commercial,18196
2018,11,Chinook,0,GN,Commercial,18196
1975,12,Chinook,7163,GN,Commercial,91169
1976,12,Chinook,9873,GN,Commercial,91169
1977,12,Chinook,6870,GN,Commercial,91169
1978,12,Chinook,8093,GN,Commercial,91169
1979,12,Chinook,3452,GN,Commercial,91169
1980,12,Chinook,4215,GN,Commercial,91169
1981,12,Chinook,3693,GN,Commercial,91169
1982,12,Chinook,3971,GN,Commercial,91169
1983,12,Chinook,3504,GN,Commercial,91169
1984,12,Chinook,4564,GN,Commercial,91169
1985,12,Chinook,4663,GN,Commercial,91169
1986,12,Chinook,4256,GN,Commercial,91169
1987,12,Chinook,3008,GN,Commercial,91169
1988,12,Chinook,1186,GN,Commercial,91169
1989,12,Chinook,6197,GN,Commercial,91169
1990,12,Chinook,3044,GN,Commercial,91169
1991,12,Chinook,3301,GN,Commercial,91169
1992,12,Chinook,2904,GN,Commercial,91169
1993,12,Chinook,2513,GN,Commercial,91169
1994,12,Chinook,2325,GN,Commercial,91169
1995,12,Chinook,336,GN,Commercial,91169
1996,12,Chinook,70,GN,Commercial,91169
1997,12,Chinook,583,GN,Commercial,91169
1998,12,Chinook,52,GN,Commercial,91169
1999,12,Chinook,121,GN,Commercial,91169
2000,12,Chinook,0,GN,Commercial,91169
2001,12,Chinook,195,GN,Commercial,91169
2002,12,Chinook,420,GN,Commercial,91169
2003,12,Chinook,182,GN,Commercial,91169
2004,12,Chinook,305,GN,Commercial,91169
2005,12,Chinook,11,GN,Commercial,91169
2006,12,Chinook,72,GN,Commercial,91169
2007,12,Chinook,0,GN,Commercial,91169
2008,12,Chinook,0,GN,Commercial,91169
2009,12,Chinook,0,GN,Commercial,91169
2010,12,Chinook,16,GN,Commercial,91169
2011,12,Chinook,6,GN,Commercial,91169
2012,12,Chinook,0,GN,Commercial,91169
2013,12,Chinook,0,GN,Commercial,91169
2014,12,Chinook,0,GN,Commercial,91169
2015,12,Chinook,0,GN,Commercial,91169
2016,12,Chinook,0,GN,Commercial,91169
2017,12,Chinook,1,GN,Commercial,91169
2018,12,Chinook,4,GN,Commercial,91169
2020,12,Chinook,0,GN,Commercial,91169
1975,13,Chinook,1082,GN,Commercial,22230
1976,13,Chinook,1494,GN,Commercial,22230
1977,13,Chinook,4253,GN,Commercial,22230
1978,13,Chinook,2188,GN,Commercial,22230
1979,13,Chinook,1661,GN,Commercial,22230
1980,13,Chinook,1185,GN,Commercial,22230
1981,13,Chinook,811,GN,Commercial,22230
1982,13,Chinook,2287,GN,Commercial,22230
1983,13,Chinook,862,GN,Commercial,22230
1984,13,Chinook,457,GN,Commercial,22230
1985,13,Chinook,885,GN,Commercial,22230
1986,13,Chinook,494,GN,Commercial,22230
1987,13,Chinook,379,GN,Commercial,22230
1988,13,Chinook,270,GN,Commercial,22230
1989,13,Chinook,651,GN,Commercial,22230
1990,13,Chinook,810,GN,Commercial,22230
1991,13,Chinook,730,GN,Commercial,22230
1992,13,Chinook,267,GN,Commercial,22230
1993,13,Chinook,481,GN,Commercial,22230
1994,13,Chinook,311,GN,Commercial,22230
1995,13,Chinook,92,GN,Commercial,22230
1996,13,Chinook,251,GN,Commercial,22230
1997,13,Chinook,88,GN,Commercial,22230
1998,13,Chinook,5,GN,Commercial,22230
1999,13,Chinook,4,GN,Commercial,22230
2000,13,Chinook,0,GN,Commercial,22230
2001,13,Chinook,20,GN,Commercial,22230
2002,13,Chinook,63,GN,Commercial,22230
2003,13,Chinook,30,GN,Commercial,22230
2004,13,Chinook,37,GN,Commercial,22230
2005,13,Chinook,11,GN,Commercial,22230
2006,13,Chinook,63,GN,Commercial,22230
2007,13,Chinook,0,GN,Commercial,22230
2008,13,Chinook,0,GN,Commercial,22230
2009,13,Chinook,0,GN,Commercial,22230
2010,13,Chinook,3,GN,Commercial,22230
2011,13,Chinook,3,GN,Commercial,22230
2012,13,Chinook,0,GN,Commercial,22230
2013,13,Chinook,0,GN,Commercial,22230
2014,13,Chinook,0,GN,Commercial,22230
2015,13,Chinook,0,GN,Commercial,22230
2016,13,Chinook,0,GN,Commercial,22230
2017,13,Chinook,0,GN,Commercial,22230
2018,13,Chinook,2,GN,Commercial,22230
2020,13,Chinook,0,GN,Commercial,22230
1975,14,Chinook,233,GN,Commercial,10950
1976,14,Chinook,286,GN,Commercial,10950
1977,14,Chinook,131,GN,Commercial,10950
1978,14,Chinook,43,GN,Commercial,10950
1979,14,Chinook,17,GN,Commercial,10950
1980,14,Chinook,365,GN,Commercial,10950
1981,14,Chinook,393,GN,Commercial,10950
1982,14,Chinook,235,GN,Commercial,10950
1983,14,Chinook,798,GN,Commercial,10950
1984,14,Chinook,278,GN,Commercial,10950
1985,14,Chinook,2183,GN,Commercial,10950
1986,14,Chinook,1934,GN,Commercial,10950
1987,14,Chinook,754,GN,Commercial,10950
1988,14,Chinook,262,GN,Commercial,10950
1989,14,Chinook,848,GN,Commercial,10950
1990,14,Chinook,502,GN,Commercial,10950
1991,14,Chinook,609,GN,Commercial,10950
1992,14,Chinook,636,GN,Commercial,10950
1993,14,Chinook,103,GN,Commercial,10950
1994,14,Chinook,95,GN,Commercial,10950
1995,14,Chinook,204,GN,Commercial,10950
1998,14,Chinook,11,GN,Commercial,10950
2000,14,Chinook,0,GN,Commercial,10950
2001,14,Chinook,3,GN,Commercial,10950
2002,14,Chinook,16,GN,Commercial,10950
2003,14,Chinook,9,GN,Commercial,10950
2004,14,Chinook,0,GN,Commercial,10950
2005,14,Chinook,2,GN,Commercial,10950
2006,14,Chinook,0,GN,Commercial,10950
2007,14,Chinook,0,GN,Commercial,10950
2008,14,Chinook,0,GN,Commercial,10950
2009,14,Chinook,0,GN,Commercial,10950
2011,14,Chinook,0,GN,Commercial,10950
2012,14,Chinook,0,GN,Commercial,10950
2013,14,Chinook,0,GN,Commercial,10950
2014,14,Chinook,0,GN,Commercial,10950
2015,14,Chinook,0,GN,Commercial,10950
2016,14,Chinook,0,GN,Commercial,10950
2017,14,Chinook,0,GN,Commercial,10950
2020,14,Chinook,0,GN,Commercial,10950
1975,15,Chinook,330,GN,Commercial,919
1976,15,Chinook,142,GN,Commercial,919
1977,15,Chinook,22,GN,Commercial,919
1978,15,Chinook,242,GN,Commercial,919
1979,15,Chinook,68,GN,Commercial,919
1980,15,Chinook,115,GN,Commercial,919
1975,16,Chinook,800,GN,Commercial,15111
1976,16,Chinook,495,GN,Commercial,15111
1977,16,Chinook,653,GN,Commercial,15111
1978,16,Chinook,127,GN,Commercial,15111
1979,16,Chinook,221,GN,Commercial,15111
1980,16,Chinook,316,GN,Commercial,15111
1981,16,Chinook,564,GN,Commercial,15111
1982,16,Chinook,229,GN,Commercial,15111
1983,16,Chinook,1635,GN,Commercial,15111
1984,16,Chinook,583,GN,Commercial,15111
1985,16,Chinook,2794,GN,Commercial,15111
1986,16,Chinook,174,GN,Commercial,15111
1987,16,Chinook,620,GN,Commercial,15111
1988,16,Chinook,76,GN,Commercial,15111
1989,16,Chinook,264,GN,Commercial,15111
1990,16,Chinook,147,GN,Commercial,15111
1991,16,Chinook,715,GN,Commercial,15111
1992,16,Chinook,1100,GN,Commercial,15111
1993,16,Chinook,2579,GN,Commercial,15111
1994,16,Chinook,1018,GN,Commercial,15111
1997,16,Chinook,1,GN,Commercial,15111
1998,16,Chinook,0,GN,Commercial,15111
2001,16,Chinook,0,GN,Commercial,15111
2005,16,Chinook,0,GN,Commercial,15111
1975,17,Chinook,330,GN,Commercial,4713
1976,17,Chinook,1913,GN,Commercial,4713
1977,17,Chinook,1275,GN,Commercial,4713
1978,17,Chinook,87,GN,Commercial,4713
1979,17,Chinook,131,GN,Commercial,4713
1980,17,Chinook,309,GN,Commercial,4713
1981,17,Chinook,188,GN,Commercial,4713
1982,17,Chinook,353,GN,Commercial,4713
1987,17,Chinook,49,GN,Commercial,4713
1988,17,Chinook,23,GN,Commercial,4713
1991,17,Chinook,38,GN,Commercial,4713
1992,17,Chinook,16,GN,Commercial,4713
1998,17,Chinook,0,GN,Commercial,4713
2001,17,Chinook,0,GN,Commercial,4713
2002,17,Chinook,0,GN,Commercial,4713
2003,17,Chinook,0,GN,Commercial,4713
2004,17,Chinook,0,GN,Commercial,4713
2005,17,Chinook,0,GN,Commercial,4713
2007,17,Chinook,0,GN,Commercial,4713
2008,17,Chinook,0,GN,Commercial,4713
2009,17,Chinook,1,GN,Commercial,4713
2013,17,Chinook,0,GN,Commercial,4713
2015,17,Chinook,0,GN,Commercial,4713
2016,17,Chinook,0,GN,Commercial,4713
2017,17,Chinook,0,GN,Commercial,4713
2018,17,Chinook,0,GN,Commercial,4713
2020,17,Chinook,0,GN,Commercial,4713
1975,18,Chinook,128,GN,Commercial,885
1976,18,Chinook,104,GN,Commercial,885
1977,18,Chinook,151,GN,Commercial,885
1978,18,Chinook,19,GN,Commercial,885
1979,18,Chinook,4,GN,Commercial,885
1980,18,Chinook,18,GN,Commercial,885
1981,18,Chinook,50,GN,Commercial,885
1982,18,Chinook,54,GN,Commercial,885
1986,18,Chinook,10,GN,Commercial,885
1987,18,Chinook,5,GN,Commercial,885
1988,18,Chinook,23,GN,Commercial,885
1990,18,Chinook,49,GN,Commercial,885
